"ISBN";"1st-Keyword";"2nd-Keyword";"Book-Author";"Year-of-Publication"
"0553211803";"communication";"middlemarch";"George Eliot";"1996"
"0553211919";"obscure";"jude";"Thomas Hardy";"1985"
"0553211951";"complete";"classic";"Mark Twain";"1990"
"0553212087";"howards";"end";"E. M. Forster";"1985"
"0553212141";"classics";"darkness";"JOSEPH CONRAD";"1982"
"0553212168";"karamazov";"brothers";"FYODOR DOSTOEVSKY";"1984"
"0553212184";"classics";"bantam";"Harriet Beecher Stowe";"1983"
"0553212230";"classics";"bantam";"Charles Dickens";"1995"
"0553212281";"telltale";"classics";"EDGAR ALLAN POE";"1983"
"055321229X";"classics";"bantam";"George Eliot";"1981"
"055321232X";"gullivers";"classics";"Jonathan Swift";"1981"
"0553212338";"classics";"bantam";"JACK LONDON";"1991"
"0553212419";"sherlock";"complete";"Arthur Conan, Sir Doyle";"1986"
"0553212427";"sherlock";"sherlock";"Arthur Conan Doyle";"1986"
"0553212443";"christmas";"classic";"CHARLES DICKENS";"1986"
"0553212451";"classics";"bantam";"Upton Sinclair";"1981"
"055321246X";"writings";"walden";"HENRY DAVID THOREAU";"1983"
"0553212478";"frankenstein";"changing";"Mary Wollstonecraft Shelley";"1984"
"0553212494";"treasure";"classic";"ROBERT LOUIS STEVENSON";"1982"
"0553212540";"classics";"picture";"OSCAR WILDE";"1982"
"0553212583";"wuthering";"heights";"EMILY BRONTE";"1983"
"0553212621";"chatterleys";"unexpurgated";"D. H. Lawrence";"1983"
"055321263X";"classics";"woman";"Wilkie Collins";"1985"
"0553212702";"classic";"bantam";"Nathaniel Hawthorne";"1987"
"0553212710";"classics";"dracula";"BRAM STOKER";"1983"
"0553212737";"emma";"null";"JANE AUSTEN";"1984"
"0553212753";"classics";"bantam";"Louisa May Alcott";"1983"
"055321277X";"classics";"bantam";"ROBERT LOUIS STEVENSON";"1982"
"0553212788";"prince";"the";"Niccolo Machiavelli";"1984"
"0553212923";"classics";"bantam";"William Shakespeare";"1988"
"0553213008";"midsummer";"classic";"William Shakespeare";"1988"
"0553213024";"classics";"othello";"William Shakespeare";"1988"
"0553213059";"classic";"bantam";"William Shakespeare";"1988"
"0553213105";"prejudice";"pride";"Jane Austen";"1981"
"0553213113";"mobydick";"null";"HERMAN MELVILLE";"1981"
"055321313X";"paperback";"gables";"L.M. MONTGOMERY";"1982"
"0553213148";"paperback";"avonlea";"L.M. MONTGOMERY";"1984"
"0553213156";"paperback";"ingleside";"L.M. MONTGOMERY";"1984"
"0553213164";"paperback";"poplars";"L.M. MONTGOMERY";"1983"
"0553213172";"island";"anne";"Lucy Maud Montgomery";"1983"
"0553213180";"annes";"dreams";"L.M. MONTGOMERY";"1983"
"0553213202";"house";"mirth";"Edith Wharton";"1997"
"0553213237";"classic";"room";"E. M. Forster";"1988"
"0553213296";"classics";"mohicans";"James Fenimore Cooper";"1981"
"055321330X";"awakening";"the";"Kate Chopin";"1985"
"0553213342";"sensibility";"classics";"Jane Austen";"1995"
"0553213377";"musketeers";"classics";"ALEXANDRE DUMAS";"1984"
"0553213385";"classics";"bantam";"H. G. Wells";"1988"
"0553213393";"classics";"inferno";"DANTE";"1982"
"0553213415";"classics";"bantam";"Gustave Flaubert";"1982"
"0553213423";"expectations";"classic";"Charles Dickens";"1982"
"0553213458";"adventures";"wonderland";"Lewis Carroll";"1984"
"0553213466";"karenina";"anna";"Leo Tolstoy";"1984"
"0553213504";"classics";"bantam";"ALEXANDRE DUMAS";"1984"
"0553213512";"classics";"machine";"H. G. Wells";"1984"
"0553213601";"classics";"bergerac";"EDMOND ROSTAND";"1950"
"0553213652";"bhagavadgita";"krishnas";"BARBARA MILLER";"1986"
"0553213660";"classic";"story";"L.M. Montgomery";"1988"
"0553213695";"metamorphosis";"classics";"FRANZ KAFKA";"1972"
"0553213741";"sister";"carrie";"Theodore Dreiser";"1993"
"055321375X";"wallpaper";"writings";"Charlotte Perkins Gilman";"1989"
"0553213806";"dubliners";"null";"James Joyce";"1990"
"0553213873";"classic";"bantam";"Helen Keller";"1991"
"055321392X";"classic";"bondage";"W. Somerset Maugham";"1991"
"0553214047";"portrait";"artist";"James Joyce";"1992"
"0553214187";"classic";"antonia";"Willa Cather";"1994"
"0553214225";"summer";"null";"Edith Wharton";"1993"
"0553225855";"milligan";"minds";"Daniel Keyes";"1982"
"0553226568";"tears";"time";"Cynthia Freeman";"1982"
"0553227041";"sisterhood";"null";"Michael Palmer";"0"
"0553227467";"dragon";"red";"Thomas Harris";"1982"
"0553227750";"clan";"cave";"Jean Auel";"1982"
"0553228129";"identity";"bourne";"Robert Ludlum";"1982"
"0553230212";"parsifal";"mosaic";"Robert Ludlum";"1983"
"0553231081";"discomfort";"southern";"Rita Mae Brown";"1983"
"0553232320";"gandolfo";"road";"Robert Ludlum";"1982"
"055323336X";"project";"god";"John Saul";"1983"
"055323370X";"emily";"moon";"L.M. MONTGOMERY";"1983"
"0553234595";"dragonsinger";"null";"Anne McCaffrey";"1978"
"0553234609";"dragonsong";"null";"Anne McCaffrey";"1977"
"0553234617";"earthsea";"wizard";"Ursula K. Le Guin";"1984"
"0553234811";"children";"earths";"Jean M. Auel";"1983"
"0553235559";"lonesome";"gods";"Louis L'Amour";"1984"
"0553236245";"never";"wolf";"Farley Mowat";"1983"
"0553238000";"mistrals";"daughter";"Judith Krantz";"1983"
"0553238132";"rubyfruit";"jungle";"Rita Mae Brown";"1999"
"0553238450";"delta";"star";"Joseph Wambaugh";"1984"
"0553238973";"clan";"cave";"Jean M. Auel";"1983"
"0553239813";"drummer";"little";"John Lecarre";"1984"
"0553240013";"paperback";"numbered";"Francine Pascal";"1984"
"0553240307";"sudden";"death";"Rita Mae Brown";"1984"
"0553240390";"princess";"daisy";"Judith Krantz";"1981"
"0553240455";"heartbreaker";"paperback";"Francine Pascal";"1984"
"0553240633";"right";"stuff";"Tom Wolfe";"1983"
"0553240749";"mice";"and";"John Steinbeck";"1982"
"0553240951";"limb";"out";"Shirley McClaine";"1984"
"0553241478";"visualization";"creative";"Shakti Gawain";"1983"
"0553241729";"nathaniel";"null";"John Saul";"1984"
"0553242954";"starfire";"bantam";"L.M. Montgomery";"1986"
"0553242962";"identity";"bourne";"Robert Ludlum";"1982"
"0553244388";"champagne";"for";"Rex Stout";"1996"
"0553244531";"selfdiscovery";"meditate";"Lawrence LeShan";"1984"
"0553244582";"maintenance";"motorcycle";"Robert M Pirsig";"1981"
"0553244949";"valentine";"pontifex";"Robert Silverberg";"1995"
"0553245694";"woodpecker";"still";"Tom Robbins";"1981"
"0553245767";"choice";"the";"Og Mandino";"1986"
"0553246070";"shadows";"lines";"Joseph Wambaugh";"1984"
"0553246895";"heart";"woman";"Maya Angelou";"1984"
"0553246984";"third";"wave";"Alvin Toffler";"1989"
"0553247468";"police";"plaza";"William J. Caunitz";"1985"
"0553247778";"denisovich";"life";"Alexander Solzhenitsyn";"1984"
"0553247786";"miracle";"worker";"William Gibson";"1984"
"0553248642";"the";"haj";"Leon Uris";"1985"
"0553249002";"progression";"aquitaine";"Robert Ludlum";"1985"
"0553249754";"brain";"child";"John Saul";"1985"
"0553250256";"catcher";"the";"Salinger";"1984"
"0553250426";"paperback";"earths";"Jean M. Auel";"1984"
"0553250515";"wedding";"member";"CARSON MCCULLERS";"1984"
"0553250523";"separate";"peace";"John Knowles";"1984"
"0553250531";"valley";"horses";"JEAN M. AUEL";"1984"
"0553250728";"edition";"perfect";"Francine Pascal";"1985"
"0553251139";"protocol";"fourth";"Frederick Forsyth";"1985"
"0553251473";"autobiography";"iacocca";"Lee Iacocca";"1986"
"0553251481";"jitterbug";"perfume";"Tom Robbins";"1985"
"0553251996";"christmas";"swingin";"Maya Angelou";"1985"
"0553252607";"kells";"book";"R.A. MacAvoy";"1985"
"0553252704";"parsifal";"mosaic";"Robert Ludlum";"1983"
"0553252828";"sicilian,";"the";"MARIO PUZO";"1985"
"0553253360";"class";"the";"Erich Segal";"1986"
"0553253638";"yourself";"plot";"Rex Stout";"1994"
"0553253778";"christmas";"edition,";"Francine Pascal";"1985"
"0553254502";"thunder,";"roll";"Mildred D. Taylor";"1984"
"0553254510";"light";"the";"John Skipp";"1992"
"0553255762";"angelou";"poems";"MAYA ANGELOU";"1996"
"0553255851";"where";"grows";"Wilson Rawls";"1984"
"0553256092";"princess";"daisy";"Judith Krantz";"1984"
"0553256157";"caged";"sings";"Maya Angelou";"1971"
"0553256211";"dream";"hold";"Barbara Bradford Taylor";"1986"
"0553256459";"sweet";"valley";"Francine Pascal";"1986"
"0553256653";"algernon";"flowers";"Daniel Keyes";"1984"
"0553256696";"hiding";"place";"Corrie Ten Boom";"1984"
"0553256734";"sackett";"jubal";"Louis L'Amour";"1986"
"0553256742";"autobiography";"yeager";"Chuck Yeager";"1986"
"0553256750";"beaches";"null";"Iris Rainer Dart";"1986"
"0553256920";"swans";"chance";"Celeste De Blasis";"1986"
"0553256971";"dancing";"light";"Shirley MacLaine";"1986"
"055325698X";"operation";"proteus";"James P. Hogan";"1991"
"0553257048";"postman";"the";"David Brin";"1986"
"0553257382";"legends";"when";"Hal Borland";"1984"
"055325748X";"maintenance";"motorcycle";"Robert Pirsig";"1984"
"0553258001";"cider";"house";"John Irving";"1986"
"0553258397";"heart";"comet";"Gregory Benford";"1987"
"055325846X";"trinity";"null";"Leon Uris";"1983"
"0553258478";"exodus";"null";"Leon Uris";"1983"
"0553258524";"dragonsong";"trilogy";"Anne McCaffrey";"1977"
"0553258540";"dragonsinger";"trilogy";"Anne McCaffrey";"1989"
"0553258559";"dragondrums";"trilogy";"Anne McCaffrey";"1996"
"0553258648";"hellfire";"null";"John Saul";"1986"
"0553258656";"spirits";"house";"Isabel Allende";"1986"
"0553258915";"grenvilles";"mrs";"Dominick Dunne";"1986"
"0553258990";"matarese";"circle";"Robert Ludlum";"1983"
"0553259172";"mistrals";"daughter";"JUDITH KRANTZ";"1984"
"0553260111";"identity";"bourne";"Robert Ludlum";"1984"
"0553260197";"holcroft";"covenant";"Robert Ludlum";"1984"
"0553260219";"secrets";"bright";"Joseph Wambaugh";"1986"
"0553260502";"edition";"malibu";"Francine Pascal";"1986"
"0553260618";"paperback";"mysteries";"Sue Grafton";"1986"
"0553260669";"together";"gather";"MAYA ANGELOU";"1985"
"0553260944";"chancellor";"manuscript";"Robert Ludlum";"1984"
"0553260960";"children";"mammoth";"Jean M. Auel";"1986"
"0553261258";"hearts";"high";"Rita Mae Brown";"1987"
"0553261908";"volume";"cards";"George R.R. Martin";"1990"
"0553262149";"climbs";"emily";"L.M. MONTGOMERY";"1983"
"0553262505";"earthsea";"earthsea";"URSULA K. LE GUIN";"1984"
"0553262564";"progression";"aquitaine";"Robert Ludlum";"1985"
"0553262580";"project";"the";"John Saul";"1983"
"0553262645";"nathaniel";"null";"John Saul";"1984"
"0553262807";"always";"coming";"Ursula K. Le Guin";"1993"
"0553263153";"fischer";"teaches";"Bobby Fischer";"1992"
"0553263218";"pigman";"the";"PAUL ZINDEL";"1983"
"0553263226";"supremacy";"bourne";"Robert Ludlum";"1987"
"0553263285";"darkness";"sethanon";"RAYMOND FEIST";"1987"
"0553263528";"limb";"out";"Shirley MacLaine";"1986"
"0553263579";"autobiography";"pittman";"ERNEST J. GAINES";"1982"
"055326382X";"masters";"overview";"Gary Zukav";"1994"
"0553263900";"guilty";"when";"Manuel J. Smith";"1975"
"0553263978";"spanish";"indians";"DON COLDSMITH";"1987"
"0553264079";"manhattan";"ill";"Judith Krantz";"1987"
"0553264303";"osterman";"weekend";"Robert Ludlum";"1984"
"0553264567";"perfect";"spy,";"JOHN LE CARRE";"1990"
"0553264613";"hot";"ice";"NORA ROBERTS";"2003"
"0553264907";"alternative";"devils";"Frederick Forsyth";"1982"
"0553264915";"electric";"koolaid";"Tom Wolfe";"1983"
"0553264931";"emilys";"quest";"L.M. MONTGOMERY";"1983"
"0553264990";"bantspeclast";"breed";"Louis L'Amour";"1987"
"0553265415";"stimulation";"development";"SUSAN LUDINGTON-HOE";"1987"
"0553265520";"brainchild";"null";"John Saul";"1985"
"0553265547";"substance";"dream";"Barbara Taylor Bradford";"1986"
"0553265741";"sacred";"sins";"Nora Roberts";"1990"
"0553265954";"darkness";"noon";"ARTHUR KOESTLER";"1984"
"0553265962";"wilderness";"teacher";"Robert Specht";"1982"
"0553266055";"wonderful";"things";"James Herriot";"1981"
"055326611X";"cowgirls";"blues";"TOM ROBBINS";"1984"
"0553266306";"jackal";"the";"Frederick Forsyth";"1982"
"0553266578";"unwanted";"the";"John Saul";"1987"
"0553267051";"suspects";"null";"William J. Caunitz";"1987"
"0553267701";"herb";"book";"John B. Lust";"1983"
"0553268074";"queen";"beet";"Louise Erdrich";"1987"
"0553268082";"medicine";"love";"Louise Erdrich";"1987"
"0553268120";"creatures";"great";"James Herriot";"1985"
"0553268449";"jitterbug";"perfume";"TOM ROBBINS";"1985"
"0553268473";"paperback";"earthsea";"Ursula K. Le Guin";"1984"
"0553268880";"prince";"tides";"Pat Conroy";"1987"
"0553268899";"americans";"beyond";"William Sarabande";"1987"
"0553268929";"santini";"great";"Pat Conroy";"1987"
"0553268937";"water";"wide";"PAT CONROY";"1987"
"0553268945";"darksword";"darksword";"Margaret Weis";"1997"
"0553269151";"inherit";"wind";"JEROME LAWRENCE";"1982"
"0553269216";"paperback";"rainbow";"L. M. Montgomery";"1985"
"0553269224";"paperback";"ingleside";"L. M. Montgomery";"1985"
"0553269305";"sudden";"death";"Rita Mae Brown";"1984"
"0553269321";"darkness";"echoes";"Joseph Wambaugh";"1987"
"0553269631";"lonely";"hunter";"CARSON MCCULLERS";"1983"
"055326981X";"practice";"bantam";"David Brin";"1997"
"0553269828";"sundiver";"uplift";"DAVID BRIN";"1985"
"0553270184";"destiny";"null";"Sally Beauman";"1988"
"0553270222";"haunted";"mesa";"LOUIS L'AMOUR";"1988"
"0553270257";"lincolns";"dreams";"CONNIE WILLIS";"1992"
"0553270540";"silverthorn";"riftwar";"RAYMOND FEIST";"1993"
"0553270885";"myths";"live";"Joseph Campbell";"1984"
"0553270931";"woodpecker";"still";"TOM ROBBINS";"1984"
"0553271067";"predictable";"passages";"GAIL SHEEHY";"1984"
"0553271091";"gandolfo";"road";"Robert Ludlum";"1992"
"0553271105";"shane";"null";"JACK SCHAEFER";"1983"
"0553271369";"discipline";"lords";"Pat Conroy";"1986"
"0553271636";"paperback";"mysteries";"Sue Grafton";"1988"
"0553271644";"darksword";"darksword";"Margaret Weis";"1988"
"0553271768";"secrets";"family";"Francine Pascal";"1988"
"0553271989";"odessa";"file";"Frederick Forsyth";"1983"
"0553272055";"autobiography";"anna";"Patty Duke";"1990"
"055327211X";"daughter";"empire";"RAYMOND FEIST";"1988"
"0553272225";"something";"wicked";"Carolyn G. Hart";"1988"
"0553272500";"cheaper";"dozen";"Frank B., Jr. Gilbreth";"1984"
"0553272535";"night";"null";"Elie Wiesel";"1982"
"0553272543";"stories";"ballad";"Carson McCullers";"1990"
"0553272586";"experience";"internment";"Jeanne W. Houston";"1983"
"0553272616";"unloved";"the";"John Saul";"1988"
"0553272837";"brazen";"virtue";"Nora Roberts";"1996"
"0553273078";"paperback";"stainless";"Harry Harrison";"1988"
"0553273108";"favorite";"son";"Steve Sohmer";"1988"
"0553273221";"morning";"april";"HOWARD FAST";"1983"
"0553273299";"flashback";"null";"Michael Palmer";"1991"
"0553273310";"paperback";"earthsea";"Ursula K. Le Guin";"1984"
"0553273604";"shadows";"love";"Isabel Allende";"1988"
"0553273639";"riddle";"third";"COLIN DEXTER";"1988"
"0553273701";"limb";"out";"Shirley MacLaine";"1986"
"0553273817";"leibowitz";"canticle";"Walter M., Jr. Miller";"1984"
"0553273825";"myself";"notes";"Hugh Prather";"1983"
"0553273906";"vixen";"03";"Clive Cussler";"1984"
"0553273914";"spirits";"house";"Isabel Allende";"1986"
"0553273965";"never";"wolf";"Farley Mowat";"1983"
"0553274066";"darksword";"darksword";"MARGARET WEIS";"1997"
"055327418X";"startide";"rising";"David Brin";"1993"
"0553274295";"where";"grows";"Wilson Rawls";"1984"
"0553274325";"johnny";"got";"Dalton Trumbo";"1983"
"0553274465";"discomfort";"southern";"Rita Mae Brown";"1983"
"055327449X";"illustrated";"editions";"RAY BRADBURY";"1983"
"0553274503";"algernon";"classic";"DANIEL KEYES";"1984"
"0553274554";"bodily";"harm";"MARGARET ATWOOD";"1983"
"0553274562";"time";"tide";"Thomas Fleming";"1988"
"0553274848";"phenomenonsurvival";"investigation";"Raymond A. Moody";"1984"
"0553275100";"butchers";"theater";"Jonathan Kellerman";"1989"
"0553275224";"dragon";"red";"THOMAS HARRIS";"1982"
"0553275704";"sisterhood";"the";"Michael Palmer";"1991"
"0553275720";"fantastic";"voyage";"Isaac Asimov";"1988"
"0553275739";"her";"day";"Rita Mae Brown";"1988"
"0553275852";"monkeys";"raincoat";"ROBERT CRAIS";"1992"
"0553275860";"narcissus";"goldmund";"Hermann Hesse";"1984"
"0553275976";"vanities";"bonfire";"Tom Wolfe";"1988"
"0553276085";"honeymoon";"murder";"Carolyn G. Hart";"1997"
"0553276182";"effects";"side";"Michael Palmer";"1991"
"0553276328";"paperback";"adventures";"Clive Cussler";"1984"
"0553277243";"flies";"time";"BILL COSBY";"1988"
"0553277375";"future";"shock";"Alvin Toffler";"1984"
"0553277405";"probe";"night";"Clive Cussler";"1995"
"0553277464";"beaches";"null";"Iris Rainer Dart";"1990"
"0553277472";"maintenance";"motorcycle";"ROBERT PIRSIG";"1984"
"0553277537";"dandelion";"editions";"RAY BRADBURY";"1985"
"055327757X";"greatest";"salesman";"Og Mandino";"1983"
"0553277839";"faerie";"tale";"Raymond E. Feist";"1989"
"0553277944";"widows";"club";"Dorothy Cannell";"1992"
"0553278002";"icarus";"agenda";"Robert Ludlum";"1989"
"0553278029";"deliverance";"great";"Elizabeth George";"1989"
"0553278118";"doctors";"null";"Erich Segal";"1989"
"0553278193";"ferdelance";"crime";"Rex Stout";"1992"
"0553278215";"pearl";"null";"John Steinbeck";"1983"
"0553278223";"chronicles";"martian";"RAY BRADBURY";"1984"
"055327824X";"mice";"and";"JOHN STEINBECK";"1983"
"0553278274";"remember";"night";"WALTER LORD";"1997"
"0553278355";"bell";"the";"Sylvia Plath";"1983"
"0553278363";"pony";"the";"John Steinbeck";"1988"
"0553278398";"paperback";"foundation";"ISAAC ASIMOV";"1989"
"0553278592";"revenge";"sweet";"NORA ROBERTS";"1997"
"0553278746";"classics";"postman";"David Brin";"1990"
"0553278827";"goodmans";"linda";"Linda Goodman";"1985"
"055327886X";"rubyfruit";"jungle";"Rita Mae Brown";"1983"
"0553278916";"people";"like";"Dominick Dunne";"1990"
"0553279025";"paladin";"prophet";"Margaret Weis";"1989"
"0553279289";"wouldnt";"the";"FARLEY MOWAT";"1984"
"0553279300";"being";"there";"Jerzy Kosinski";"1985"
"0553279378";"caged";"sings";"MAYA ANGELOU";"1983"
"055327953X";"best";"the";"Barbara Taylor Bradford";"1992"
"0553279556";"paperback";"evidence";"Sue Grafton";"1989"
"0553279572";"convector";"toynbee";"Ray Bradbury";"1989"
"0553279718";"uplift";"saga,";"DAVID BRIN";"1995"
"0553279726";"greatest";"miracle";"Og Mandino";"1988"
"0553279912";"paperback";"mysteries";"SUE GRAFTON";"1987"
"0553280147";"again";"till";"Judith Krantz";"1989"
"0553280325";"something";"wicked";"Ray Bradbury";"1983"
"0553280341";"paperback";"mysteries";"Sue Grafton";"1986"
"0553280368";"paperback";"mysteries";"Sue Grafton";"1987"
"0553280406";"walking";"drum";"LOUIS L'AMOUR";"1985"
"0553280414";"separate";"peace";"John Knowles";"1985"
"0553280422";"breed";"last";"LOUIS L'AMOUR";"1987"
"0553280511";"castle";"blue";"L.M. MONTGOMERY";"1989"
"0553280589";"luna";"eva";"Isabel Allende";"1989"
"0553280643";"womens";"country";"Sheri S. Tepper";"1997"
"0553280945";"paperback";"earths";"JEAN M. AUEL";"1986"
"0553281437";"prophet,";"prophet";"Margaret Weis";"1991"
"0553281747";"overdrive";"bantam";"William Gibson";"1989"
"0553281798";"trevayne";"null";"Robert Ludlum";"1992"
"0553282069";"forbidden";"americans";"WILLIAM SARABANDE";"1989"
"0553282085";"little";"murder";"Carolyn G. Hart";"1989"
"0553282093";"contenders";"gemini";"Robert Ludlum";"1989"
"0553282182";"alicia";"story";"Alicia Appleman-Jurman";"1990"
"0553282204";"bingo";"null";"Rita Mae Brown";"1989"
"0553282352";"midnight";"before";"Stephen Hunter";"1993"
"0553282476";"cats";"eye";"MARGARET ATWOOD";"1989"
"0553282700";"adventures";"further";"Martin H. Greenberg";"1989"
"0553282808";"mitla";"pass";"Leon Uris";"1989"
"0553282816";"blooding";"the";"JOSEPH WAMBAUGH";"1989"
"0553282980";"society";"poets";"N.H. Kleinbaum";"1989"
"0553283545";"seduction";"null";"Amanda Quick";"1990"
"0553283596";"black";"sand";"William J. Caunitz";"1990"
"0553283685";"hyperion";"null";"DAN SIMMONS";"1990"
"0553283936";"negotiator";"null";"Frederick Forsyth";"1999"
"0553283952";"merlin";"coming";"Nikolai Tolstoy";"1990"
"0553283960";"prosperously";"debt,";"Jerrold Mundis";"1990"
"0553284118";"creature";"null";"John Saul";"1990"
"0553284169";"rightfully";"mine";"Doris Mortman";"1990"
"0553284363";"payment";"blood";"Elizabeth George";"1990"
"0553284657";"scruples";"null";"Judith Krantz";"1989"
"0553284673";"marriage";"love";"Bill Cosby";"1990"
"0553284789";"paperback";"mysteries";"Sue Grafton";"1990"
"0553285084";"tfactor";"diet,";"MARTIN K. NORTON";"1990"
"0553285246";"prince";"blood";"RAYMOND FEIST";"1990"
"0553285343";"russia";"house,";"JOHN LE CARRE";"1990"
"0553285653";"grass";"null";"Sheri S. Tepper";"1990"
"0553285785";"secrets";"public";"Nora Roberts";"1990"
"0553285920";"paperback";"delaware";"Jonathan Kellerman";"1990"
"0553285947";"surrender";"null";"Amanda Quick";"1990"
"0553286005";"guardians,";"star";"Margaret Weis";"1996"
"0553286161";"coincidence";"last";"Robert Goldsborough";"1990"
"0553286285";"nemesis";"null";"Isaac Asimov";"1990"
"0553286390";"dragon";"cycle,";"Margaret Weis";"1990"
"0553286447";"stalking";"angel";"Robert Crais";"1992"
"0553286587";"rendezvous";"sequel";"Arthur C. Clarke";"1990"
"0553287303";"second";"child";"John Saul";"1997"
"0553287346";"wellschooled";"murder";"Elizabeth George";"1991"
"0553287397";"angel";"dark";"Sally Beauman";"1991"
"0553287400";"assassini";"the";"THOMAS GIFFORD";"1991"
"0553287532";"paperback";"mysteries";"RITA MAE BROWN";"1991"
"0553287575";"road";"end";"Tom Bodett";"1990"
"0553287737";"ultimatum";"bourne";"Robert Ludlum";"1991"
"0553287893";"rendezvous";"with";"Arthur C. Clarke";"1990"
"0553288202";"hyperion";"fall";"Dan Simmons";"1991"
"0553288342";"sleepwalk";"null";"John Saul";"1997"
"0553288474";"valentine";"deadly";"Carolyn G. Hart";"1991"
"0553288555";"dancer";"wind";"IRIS JOHANSEN";"1991"
"0553288733";"earthsea";"tetrology";"Ursula K. Le Guin";"1991"
"0553289063";"inconvenient";"woman";"Dominick Dunne";"1991"
"0553289322";"scandal";"null";"Amanda Quick";"1991"
"0553289411";"paperback";"earths";"JEAN M. AUEL";"1991"
"055328942X";"children,";"shelters";"JEAN M. AUEL";"2003"
"0553289519";"texas";"lucky";"SANDRA BROWN";"1991"
"0553289586";"onmilk";"carton";"CAROLINE B. COONEY";"1991"
"0553289691";"skinny";"legs";"TOM ROBBINS";"1991"
"0553289721";"mercy";"null";"David Lindsey";"1991"
"055328990X";"texas";"chase";"SANDRA BROWN";"1991"
"0553289993";"seattle";"wizard";"KAY HOOPER";"1993"
"055329024X";"earth";"null";"David Brin";"1991"
"0553290266";"golden";"orange";"Joseph Wambaugh";"1991"
"0553290320";"storm";"winds";"Iris Johansen";"1991"
"0553290533";"magic";"null";"TAMI HOAG";"1991"
"0553290614";"book";"case";"Stephen Greenleaf";"1992"
"0553290762";"purgatory";"season";"Dominick Dunne";"1994"
"0553290789";"genuine";"lies";"Nora Roberts";"1999"
"0553290797";"trillium";"black";"Marion Zimmer Bradley";"1991"
"0553290851";"indigo";"place";"SANDRA BROWN";"1991"
"0553290983";"paperback";"cycle,";"MARGARET WEIS";"1991"
"0553290991";"nightfall";"bantam";"Isaac Asimov";"1991"
"0553291009";"someones";"watching";"Judith Kelman";"1991"
"0553291017";"house";"hill";"Judith Kelman";"1992"
"0553291025";"should";"die";"Judith Kelman";"1993"
"055329122X";"pickings";"grim";"Jennifer Rowe";"1991"
"055329170X";"paperback";"delaware";"Jonathan Kellerman";"1991"
"0553291955";"woman";"thin";"Dorothy Cannell";"1992"
"0553292056";"attraction";"roadside";"TOM ROBBINS";"1991"
"0553292153";"powershift";"knowledge,";"Alvin Toffler";"1991"
"0553292455";"servant";"empire";"RAYMOND FEIST";"1997"
"0553292552";"quoth";"raven";"Jane Haddam";"1991"
"0553292714";"fourth";"the";"Mario Puzo";"1991"
"0553292722";"waters";"still";"TAMI HOAG";"1992"
"0553292781";"paperback";"wakefields";"Francine Pascal";"1991"
"055329315X";"reckless";"null";"Amanda Quick";"1992"
"0553293168";"ravished";"null";"Amanda Quick";"1992"
"0553293176";"dangerous";"null";"Amanda Quick";"1993"
"0553293257";"rendezvous";"null";"Amanda Quick";"1991"
"0553293354";"paperback";"foundation";"ISAAC ASIMOV";"1991"
"0553293362";"paperback";"foundation";"ISAAC ASIMOV";"1991"
"0553293370";"paperback";"foundation";"ISAAC ASIMOV";"1991"
"0553293389";"foundations";"paperback";"ISAAC ASIMOV";"1991"
"0553293397";"naked";"the";"Isaac Asimov";"1991"
"0553293400";"caves";"steel";"Isaac Asimov";"1991"
"0553293605";"guardians,";"sacrifice";"Margaret Weis";"1997"
"0553293761";"dazzle";"null";"Judith Krantz";"1992"
"0553293877";"ghost";"grand";"Arthur C. Clarke";"1992"
"0553293915";"mysteries";"colorado";"Karen Kijewski";"1992"
"0553294075";"heather";"velvet";"TERESA MEDEIROS";"1992"
"0553294083";"whisper";"roses";"Teresa Medeiros";"1993"
"0553294091";"angel";"once";"Teresa Medeiros";"1993"
"0553294385";"robot";"i,";"ISAAC ASIMOV";"1991"
"055329461X";"difference";"engine";"WILLIAM GIBSON";"1992"
"0553294903";"divine";"evil";"NORA ROBERTS";"1992"
"0553295004";"texas";"sage";"SANDRA BROWN";"1992"
"0553295071";"sliver";"novel";"Ira Levin";"1993"
"0553295098";"conflict";"story";"Stephen R. Donaldson";"1992"
"0553295101";"everything";"schoolbut";"John-Roger McWilliams";"1991"
"0553295276";"beauty";"null";"Sheri S. Tepper";"1992"
"0553295349";"luckys";"lady";"Tami Hoag";"1992"
"0553295411";"paperback";"cycle,";"MARGARET WEIS";"1992"
"0553295500";"line";"duty";"Michael Grant";"1992"
"0553295608";"vengeance";"suitable";"ELIZABETH GEORGE";"1992"
"0553295691";"christie";"caper";"Carolyn G. Hart";"1999"
"0553295772";"measures";"extreme";"Michael Palmer";"1992"
"0553295780";"fugitive";"nights";"Joseph Wambaugh";"1996"
"0553295977";"innocence";"carnal";"Nora Roberts";"1992"
"0553296124";"trilogy,";"empire";"Timothy Zahn";"1998"
"0553296345";"writing";"zen";"Ray Bradbury";"1992"
"0553296604";"exceptional";"clearance";"William J. Caunitz";"1992"
"0553296892";"stone";"silk";"Deborah Smith";"1994"
"0553296906";"willow";"blue";"DEBORAH SMITH";"1993"
"0553296981";"frank";"diary";"ANNE FRANK";"1993"
"0553297090";"timescape";"null";"Gregory Benford";"1996"
"0553297260";"darkness";"null";"John Saul";"1992"
"0553297341";"mysteries";"lovers";"Susan Conant";"1992"
"0553297422";"deceiver";"the";"Frederick Forsyth";"1995"
